Store_Dept_Date,Weekly_Sales
1_1_2012-11-02,33036.07320000001
1_2_2012-11-02,47941.25210000003
1_3_2012-11-02,10494.802599999997
1_4_2012-11-02,37757.063700000006
1_5_2012-11-02,31851.15109999998
1_6_2012-11-02,5025.364100000007
1_7_2012-11-02,23521.988000000012
1_8_2012-11-02,38953.933
1_9_2012-11-02,41894.41260000004
1_10_2012-11-02,31464.051599999995
1_11_2012-11-02,25914.307700000016
1_12_2012-11-02,9863.033800000007
1_13_2012-11-02,43198.00880000001
1_14_2012-11-02,13874.8755
1_16_2012-11-02,6013.286899999999
1_17_2012-11-02,8493.625299999996
1_18_2012-11-02,12924.646200000001
1_19_2012-11-02,981.0045000000001
1_20_2012-11-02,3414.6655000000005
1_21_2012-11-02,8521.522100000004
1_22_2012-11-02,7662.455400000007
1_23_2012-11-02,23167.78579999999
1_24_2012-11-02,6801.767699999993
1_25_2012-11-02,10974.579599999997
1_26_2012-11-02,7807.244600000002
1_27_2012-11-02,1908.829900000001
1_28_2012-11-02,763.0432999999998
1_29_2012-11-02,4886.513199999999
1_30_2012-11-02,2481.6227000000013
1_31_2012-11-02,1966.2203000000002
1_32_2012-11-02,6734.4583999999995
1_33_2012-11-02,6726.594299999994
1_34_2012-11-02,11379.79030000001
1_35_2012-11-02,2526.045599999999
1_36_2012-11-02,1913.0359999999991
1_37_2012-11-02,2855.561299999999
1_38_2012-11-02,84513.75460000003
1_40_2012-11-02,62729.14209999993
1_41_2012-11-02,1201.9792000000002
1_42_2012-11-02,8176.967399999997
1_44_2012-11-02,5731.876699999994
1_46_2012-11-02,18567.056900000007
1_48_2012-11-02,2390.61
1_49_2012-11-02,9990.070199999995
1_52_2012-11-02,2127.757600000001
1_55_2012-11-02,14196.865100000005
1_56_2012-11-02,1237.5663
1_58_2012-11-02,3232.2297
1_59_2012-11-02,641.0232999999992
1_60_2012-11-02,1246.5880000000006
1_67_2012-11-02,6378.092599999999
1_71_2012-11-02,2533.5415000000003
1_72_2012-11-02,55246.80980000002
1_74_2012-11-02,9889.708499999999
1_79_2012-11-02,42420.746300000006
1_80_2012-11-02,19043.11989999998
